,School_ID,State,Year,Subject,isbn,title,authors,published,rating,score,description
15,37,NT,0,ENGLISH,9780076044818,Spelling Mastery,"['Robert Dixon', 'Siegfried Engelmann', 'Mary Meier Bauer']",2006,0.0,0.0,"Spelling Mastery, Student Workbooks, Level F Replacing the old assign-and-test spelling book, Spelling Mastery is an effective, research-based program presents spelling strategies, patterns, and reliable rules. Benefits: Spelling Mastery interweaves three spelling strategies according to students' skill development. The phonemic approach helps beginning spellers learn and apply relationships between spoken sound and written letters to spelling. The morphemic approach shows advanced spellers how to spell prefixes, bases, suffixes and how to combine them to spell multisyllabic words. The intensive whole-word approach teaches students at all levels common words that cannot be taught with phonemic or morphemic strategies. Reliable spelling rules help students move beyond memorization to understand how words are spelled."
16,37,NT,0,ENGLISH,9781743305614,Strategies to Achieve Reading Success,,2012,0.0,0.0,
17,8,VIC,1,ENGLISH,9781741250886,Victorian Targeting Handwriting,"['Tricia Dearborn', 'Jo Ryan', 'Stephen Michael King']",2004,0.0,0.0,"Targeting Handwriting Victoria Year 6 Student Book focuses on develop ing students' own styles, while emphasising fluency and legibility. The book includes: 'Mature' real-world applications, e. g. developing a signature and tips for note taking teaching pag es with two sets of copying lines, for reinforcement and extra practice a section on calligraphy The Targeting Handwritin g Years 3-6 Student Books have been designed to make learning cursive ha ndwriting as easy as possible for students. New skills are introduced se quentially, so that students build on skills one by one and aren't calle d on to use skills that haven't been introduced yet. Wherever pos sible, students copy words underneath models, so that left-handers aren' t disadvantaged, and practice of numerals and punctuation is integrated into the writing activities. The books also encourage and support studen t self-assessment."
18,8,VIC,1,ENGLISH,9780170129046,Nelson Maths Australian Curriculum,"['Glenda Bradley', 'Pauline Rogers']",2013,0.0,0.0,"The Nelson Maths: Australian Curriculum program supports the Australian Curriculum: Mathematics content strands of Number and Algebra, Measurement and Geometry and Statistics and Probability F-6, and integrates the proficiency strands of Understanding, Fluency, Problem Solving and Reasoning throughout the activities and tasks. The Nelson Maths: Australian Curriculum Student Books feature: - engaging tasks that students can complete independently or in groups - three Student Book pages per unit - one Student Assessment page per unit - the linking Australian Curriculum: Mathematics content sub-strand, content description and code for each unit - a Glossary of mathematical terms."
19,8,VIC,1,ENGLISH,9780648237327,Kluwell My Home Reading Yellow Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,0.0,0.0,Suitable for lower primary students.
20,9,NSW,1,ENGLISH,9780648237327,Kluwell My Home Reading Yellow Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,0.0,0.0,Suitable for lower primary students.
21,9,NSW,1,MATHEMATICS,9780190322793,Maths Plus NSW Syllabus Mentals and Homework Book 1 2020,"[""Harry O'Brien"", 'Greg Purcell']",2019-11-28,0.0,0.0,"The Maths Plus NSW Syllabus Mentals and Homework Book provides students in Year 1 with opportunities to practise and develop skills and strategies.The Mentals and Homework Books: provide essential revision and consolidation activitiesdirectly correspond to the concepts and units of work presented in the Student Books link all activities to the three Australian Curriculum: Mathematics strands of Number and Algebra, Measurement and Geometry, and Statistics and Probability."
22,10,VIC,1,ENGLISH,9780190312480,Handwriting First for Victoria Revised Edition Year 1,['Maree Williams'],2015-07-15,0.0,0.0,"Oxford Handwriting for Victoria is a complete handwriting program designed to develop the building blocks of handwriting with correct posture and grip models and opportunities to model and practice accurate letter formation and joining techniques.Student Books K - 2Patterns to introduce letter groups and develop fluency skills.Track, trace and copy opportunities.Starting dots and direction arrows.Automated information of high-frequency Oxford Wordlist words.Self-assessment pages and 'track your progress' spreads.Links to Oxford Literacy for a connected curriculum."
23,10,VIC,1,ENGLISH,9781863112604,My Desktop Dictionary,"['Cliff Derkson', 'R.I.C.Publications Staff']",1992-01-01,0.0,0.0,
24,10,VIC,1,MUSIC,9780987411457,,,,,,
25,10,VIC,1,MATHEMATICS,9781741351828,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,0.0,0.0,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
26,10,VIC,1,MATHEMATICS,9781741351828,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,0.0,0.0,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
27,10,VIC,1,MATHEMATICS,9781741353358,Think Mentals Student Book 1,['Mary Serence'],2015-08,0.0,0.0,
28,10,VIC,1,ENGLISH,9780648237327,Kluwell My Home Reading Yellow Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,0.0,0.0,Suitable for lower primary students.
29,10,VIC,1,ENGLISH,9781741353501,Sound Waves Foundation Student Book,"['Barbara Murray', 'Terri Watson']",2018,0.0,0.0,
30,6,VIC,1,SCIENCE,9780190310769,Jacaranda Atlas Ninth Edition EBookPLUS and Print,"['Raymond Pask', 'Jacaranda Staff', 'Lynne Griffiths', 'Jane Bellamy', 'Jill Price', 'Nicole Gray', 'John Ramsdale', 'Alex Rossimel']",2017-08-25,0.0,0.0,
31,6,VIC,1,ENGLISH,9781925487459,My Wellbeing Journal Years 1 And 2,"[""Lauren O'Brien""]",2018-08-31,0.0,0.0,
32,6,VIC,1,ENGLISH,9781741353501,Sound Waves Foundation Student Book,"['Barbara Murray', 'Terri Watson']",2018,0.0,0.0,
33,6,VIC,1,ENGLISH,9780725334604,New Improved Modern Cursive Handwriting 6,"['Gail Nightingale', 'Paul Nightingale']",2004,0.0,0.0,New Improved Modern Cursive Handwriting for Victoria is a popular series providing a structured approach to handwriting with full teacher support.
34,6,VIC,1,ENGLISH,9780195560367,Grammar Through Text Types,"['Peter Durkin', 'Heather Sperring', 'Virginia Ferguson']",2008,0.0,0.0,"Grammer Through Text Types series has been designed to develop and consolidate grammer conventions introduced through a variety of literacy and factual text types. Student Books 30 well-graded, double-page units. Grammar focus highlighted in context. Include cumulative revision units, self-assessment spreads and a handy, pull-out answer section. Definitions and examples to support independent learning. Include writing tasks to apply skills."
35,13,NT,1,MATHEMATICS,9780648237327,Kluwell My Home Reading Yellow Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,0.0,0.0,Suitable for lower primary students.
36,13,NT,1,MATHEMATICS,9781741351828,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,0.0,0.0,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
37,14,WA,1,ENGLISH,9780190312565,Oxford Handwriting for New South Wales Year 2,['Lesley Ljungdahl'],2018-10-11,0.0,0.0,"Oxford Handwriting for New South Wales is a comprehensive and engaging program designed to introduce and develop the fundamental skills of handwriting. It includes correct posture and grip models, opportunities to model and practise accurate letter formation and joining techniques, and activities to help every student develop a fluent automatic handwriting style. The Oxford Handwriting for New South Wales series is comprised of seven student workbooks for years K-6 featuring words from the most recent Oxford Wordlist as well as themes and characters from Oxford Reading for Comprehension.Key features of the handwriting books include:state-specific handwriting conventions for NSWengaging full-colour illustrationshelpful tips along the waycolouring-in opportunitiesself-assessment tasksnumber tracing activities."
38,15,NSW,1,ENGLISH,9781876424503,,,,,,
39,15,NSW,1,MATHEMATICS,9781741353358,Think Mentals Student Book 1,['Mary Serence'],2015-08,0.0,0.0,
40,15,NSW,1,ENGLISH,9781406313574,Willy the Dreamer,['Anthony Browne'],2008,10.0,3.5,"Willy loves to dream. He dreams that he's a film star, a sumo wrestler, a ballet dancer, a painter, an explorer, a famous writer, a scuba diver... Sometimes he dreams that he can't run but he can fly. He dreams he's a giant or he's tiny, a beggar or a king, in a strange landscape or all at sea. He dreams of fierce monsters and super heroes, of the past and, sometimes, the future. Willy's dreamland is a gallery of amazing and magical pictures, each one magnificently executed and packed with bananas and slyly surreal details that cannot fail to intrigue and delight. The pictures pay homage to famous paintings by the likes of Dali, Magritte and Henri Rousseau, as well as film and book characters and much more."
41,15,NSW,1,MATHEMATICS,9781741351828,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,0.0,0.0,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
42,15,NSW,1,ENGLISH,9780593098431,Are We There Yet?,['Kathleen West'],2021,4.0,3.5,"""Alice Sullivan, a high-achieving architect and mom of two, is used to being in control--until life rips the blueprints right out of her hands. While she's always strived for a picture perfect life, Alice's foundation is rocked when she discovers her daughter is failing reading at school, and worse, her son is a bully, having humiliated a classmate on stage in front of 500 of their peers. Alice feels desperate to make things right, but when she turns to her friends for support, she discovers her own social standing has eroded now that she's one of 'those moms' who can't control her kids""--"
43,15,NSW,1,ENGLISH,9780648237327,Kluwell My Home Reading Yellow Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,0.0,0.0,Suitable for lower primary students.
44,15,NSW,1,MATHEMATICS,9781741351828,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,0.0,0.0,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
45,17,QLD,1,ENGLISH,9780190320225,Handwriting for Queensland Year 1,"['Debbie Croft', 'Deborah Davis', 'Maree Williams']",2010,0.0,0.0,
46,26,QLD,1,ENGLISH,9781741352801,Writing Time: Queensland beginner's alphabet,['Mary Serenc'],2013,0.0,0.0,
47,26,QLD,1,MATHEMATICS,9781741351828,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,0.0,0.0,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
48,26,QLD,1,ENGLISH,9781863112604,My Desktop Dictionary,"['Cliff Derkson', 'R.I.C.Publications Staff']",1992-01-01,0.0,0.0,
49,33,NSW,1,MATHEMATICS,9781488621161,Australian Signpost Maths,"['Alan McSeveny', 'Diane McSeveny Foster', 'Erika Johnson', 'Rachel McSeveny', 'Alan Parker']",2012,0.0,0.0,"The Teacher's Book assists you with implementing Australian Signpost Maths, and includes the pedagogical background and suggested teaching program. Reproduced pages from the student book with answers are shown in the Teacher's Book to save you time correcting, with Australian Mathematics Curriculum references on each page of the Teacher's Book to help you follow how the content strands are covered. Teaching suggestions, extension work, maths language, resources and evaluations are available for each lesson, catering for differentiation and meeting individual learning needs of students. ID cards are also provided to help develop students' mathematical language and concepts, and blackline masters are given to provide extra exercises for particular areas of the syllabus. Assessment options to help discover each student's strengths and weaknesses include progress tests and diagnostic tests. Both of these assessment options supply their answers and directly reference to each concept in the student book."
50,33,NSW,1,ENGLISH,9780190312565,Oxford Handwriting for New South Wales Year 2,['Lesley Ljungdahl'],2018-10-11,0.0,0.0,"Oxford Handwriting for New South Wales is a comprehensive and engaging program designed to introduce and develop the fundamental skills of handwriting. It includes correct posture and grip models, opportunities to model and practise accurate letter formation and joining techniques, and activities to help every student develop a fluent automatic handwriting style. The Oxford Handwriting for New South Wales series is comprised of seven student workbooks for years K-6 featuring words from the most recent Oxford Wordlist as well as themes and characters from Oxford Reading for Comprehension.Key features of the handwriting books include:state-specific handwriting conventions for NSWengaging full-colour illustrationshelpful tips along the waycolouring-in opportunitiesself-assessment tasksnumber tracing activities."
51,33,NSW,1,MATHEMATICS,9781741351828,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,0.0,0.0,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
52,33,NSW,1,ENGLISH,9780190323172,Oxford Grammar Student Book 1,['Andrew Woods'],2020-06-03,0.0,0.0,"Oxford Grammar explores key grammatical concepts in line with the requirements of the Australian Curriculum: English, and helps students connect grammar features to a writing purpose. Best-selling textbook author Andrew Woods uses appealing stimulus pages and authentic literary texts to model grammar in context at the word, sentence and text level, with related writing activities for practice. Oxford Grammar will provide students with the tools they need to be effective when expressing their own ideas.The Student Books feature:complete coverage of the Australian Curriculum: Englishalignment to the requirements of the ACARA Literacy Learning Progression'Test yourself' units offering cumulative revision and preparation for national testing'Using grammar in texts' units to link grammar with the purpose of informative, imaginative and persuasive text typesextension and enrichment unitsopportunities for self-reflection and progress checkinga handy glossary of terms."
53,33,NSW,1,ENGLISH,9780648237327,Kluwell My Home Reading Yellow Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,0.0,0.0,Suitable for lower primary students.
54,35,NSW,1,ENGLISH,9781740202978,Targeting Handwriting,['Jane Pinsker'],2001,0.0,0.0,"The Targeting Handwriting NSW Year 4 Student Book focuses on consolid ation of joining skills, plus: teaching of trickier joins l ike joining to s, horizontal joins to e, joined double f and joined ft students begin to assess their own letter size and spacing, spac ing between words, and slope Handwriting is one of the mos t crucial skills students will develop in primary school. Targeting Hand writing covers the handwriting curriculum in a clear and structured way, with content directly linked to NSW syllabus outcomes. Writing is a vit al, compelling form of communication. Children need to write every day, for a variety of purposes and for a variety of audiences. To be competen t writers, their handwriting needs to be fluent and legible. The teachin g of handwriting is an essential part of the writing curriculum."
55,36,QLD,1,ENGLISH,9781922246172,ORIGO Stepping Stones Student Journal Year F,['ORIGO Education'],2014-01-01,0.0,0.0,
56,36,QLD,1,ENGLISH,9781741352801,Writing Time: Queensland beginner's alphabet,['Mary Serenc'],2013,0.0,0.0,
57,37,NT,1,MUSIC,9780987411464,Musicianship & Aural Training for the Secondary School,['Deborah Smith'],2016-09-30,0.0,0.0,"Aural, theory and musicianship text book with fully interactive PDF for senior level music classes (VCE, TCE etc)"
58,37,NT,1,ENGLISH,9781741352948,Western Australian Targeting Handwriting,"['Jane Pinsker', 'Stephen Michael King', 'Jo Ryan']",2004,0.0,0.0,"These fun and inviting books have well-designed, uncluttered pages fo r the beginner writer. Other features of the Targeting Handwritin g WA Pre-Primary Student Book include: plenty of pre-writin g patterning exercises to help practise the basic movements required in letter formation and development of fine motor skills each lett er has two pages of tracing and tracking exercises with an attractive se ahorse character to introduce the positioning of letters within lines the letters are also cleverly featured within illustrations as a memory aid for students a seahorse character demonstrates the p ositioning of letters within lines, the number of strokes required for e ach letter is highlighted and the focus letter is also featured within a simple illustration as a memory aid for students a handy stude nt reference for pencil grip and paper position is included a f un and colourful alphabet is included Handwriting is one o f the most crucial skills students will develop in primary school. Targe ting Handwriting covers the handwriting curriculum in a clear and struct ured way, with content linked to Western Australian Strand Outcome State ments. To be competent writers, students' handwriting needs to be fluent and legible. The teaching of handwriting is an essential part of the wr iting curriculum. Regular practice, three to four times a week, in fine motor skills and in letter formation will ensure the development of good handwriting habits."
59,37,NT,1,ENGLISH,9780076044825,Spelling Mastery,"['Robert Dixon', 'Siegfried Engelmann', 'Mary Meier Bauer']",2006,0.0,0.0,"Spelling Mastery, Student Workbooks, Level F Replacing the old assign-and-test spelling book, Spelling Mastery is an effective, research-based program presents spelling strategies, patterns, and reliable rules. Benefits: Spelling Mastery interweaves three spelling strategies according to students' skill development. The phonemic approach helps beginning spellers learn and apply relationships between spoken sound and written letters to spelling. The morphemic approach shows advanced spellers how to spell prefixes, bases, suffixes and how to combine them to spell multisyllabic words. The intensive whole-word approach teaches students at all levels common words that cannot be taught with phonemic or morphemic strategies. Reliable spelling rules help students move beyond memorization to understand how words are spelled."
60,3,VIC,2,ENGLISH,9780190312497,Handwriting First for Victoria Foundation,['Lesley Ljungdahl'],2018-10-11,0.0,0.0,"Oxford Handwriting for Victoria is a comprehensive and engaging program designed to introduce and develop the fundamental skills of handwriting. It includes correct posture and grip models, opportunities to model and practise accurate letter formation and joining techniques, and activities to help every student develop a fluent automatic handwriting style. The Oxford Handwriting for Victoria series is comprised of seven student workbooks for years F-6 featuring words from the most recent Oxford Wordlist as well as themes and characters from Oxford Reading for Comprehension. Key Features of the handwriting books include:state-specific handwriting conventionsengaging full-colour illustrationshelpful tips along the waycolouring-in opportunitiesself-assessment tasksnumber tracing."
61,3,VIC,2,LANGUAGES,9781563160332,IQRAʾ Arabic Reader 3,"['Fadel Abdallah', 'Faḍl Ibrāhīm ʻAbd Allāh']",1995,0.0,0.0,
62,3,VIC,2,ACCOUNTING,9781337587426,Accounting,"['Carl S. Warren', 'James M. Reeve', 'Jonathan Duchac']",2017-02-21,0.0,0.0,"Gain a solid foundation in accounting to ensure you are prepared for future business courses and the real world with Warren/Reeve/Duchac’s market-leading ACCOUNTING, 27E. This edition helps you connect concepts to the bigger picture with features such as the new chapter opening schema that allows you to see how each chapter’s specific content fits within the overall framework of the book. A focus on why accounting is important to business and a prosperous society is reinforced throughout with Business Connection features that illustrate how the concept is used in the real world. In addition, the Warren/Reeve/Duchac hallmark accounting cycle coverage provides unmatched foundation so you are prepared to succeed in later chapters. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version."
63,3,VIC,2,RELIGIOUS EDUCATION,9781933301013,,,,,,
64,3,VIC,2,ENGLISH,9780648237327,Kluwell My Home Reading Yellow Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,0.0,0.0,Suitable for lower primary students.
65,8,VIC,2,ENGLISH,9781741250893,Victorian Targeting Handwriting,"['Tricia Dearborn', 'Jo Ryan', 'Stephen Michael King']",2004,0.0,0.0,"Targeting Handwriting Victoria Year 6 Student Book focuses on develop ing students' own styles, while emphasising fluency and legibility. The book includes: 'Mature' real-world applications, e. g. developing a signature and tips for note taking teaching pag es with two sets of copying lines, for reinforcement and extra practice a section on calligraphy The Targeting Handwritin g Years 3-6 Student Books have been designed to make learning cursive ha ndwriting as easy as possible for students. New skills are introduced se quentially, so that students build on skills one by one and aren't calle d on to use skills that haven't been introduced yet. Wherever pos sible, students copy words underneath models, so that left-handers aren' t disadvantaged, and practice of numerals and punctuation is integrated into the writing activities. The books also encourage and support studen t self-assessment."
66,8,VIC,2,ENGLISH,9780170129046,Nelson Maths Australian Curriculum,"['Glenda Bradley', 'Pauline Rogers']",2013,0.0,0.0,"The Nelson Maths: Australian Curriculum program supports the Australian Curriculum: Mathematics content strands of Number and Algebra, Measurement and Geometry and Statistics and Probability F-6, and integrates the proficiency strands of Understanding, Fluency, Problem Solving and Reasoning throughout the activities and tasks. The Nelson Maths: Australian Curriculum Student Books feature: - engaging tasks that students can complete independently or in groups - three Student Book pages per unit - one Student Assessment page per unit - the linking Australian Curriculum: Mathematics content sub-strand, content description and code for each unit - a Glossary of mathematical terms."
67,8,VIC,2,ENGLISH,9780648237327,Kluwell My Home Reading Yellow Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,0.0,0.0,Suitable for lower primary students.
68,9,NSW,2,ENGLISH,9780648237327,Kluwell My Home Reading Yellow Level,"['Stan Kluzek', 'Andrew Coldwell']",2019-07,0.0,0.0,Suitable for lower primary students.
69,9,NSW,2,ENGLISH,9780987395344,Core Takehome,['WrightGroup/McGraw-Hill Staff'],2001-08,0.0,0.0,"Pre-Decodable Stories help students at K and Grade 1 learnabout concepts of books and print, and practice readingessential high-frequency sight words. Decodable storiesprovide fluency practice through totally controlled, connectedtext.' Grade PreK: 20? Grade K: 35? Grade 1 Core Set: 115, Grade 1 Practice Set: 80? Grade 2: 7 Books, each containing multiple decodablestories? Grade 3: 4 Books, each containing multiple decodablestories"
70,9,NSW,2,ENGLISH,9780142410394,The Twits,['Roald Dahl'],2007,2.0,5.0,The misadventures of two terrible old people who enjoy playing nasty tricks and are finally outwitted by a family of monkeys.
71,9,NSW,2,MATHEMATICS,9780190322809,Teaching guide,"[""Harry O'Brien"", 'Pat Lilburn', 'Greg Purcell']",2013,0.0,0.0,"Term planners, NSW Syllabus Outcomes cross-reference chart and topic index for planning and preparing. Corresponding teaching page for every Student Book page Annotated diagnostic review tests for assessment and analysis"
72,10,VIC,2,ENGLISH,9780190323189,Oxford Grammar Student Book 2,['Andrew Woods'],2020-06-03,0.0,0.0,"Oxford Grammar explores key grammatical concepts in line with the requirements of the Australian Curriculum: English, and helps students connect grammar features to a writing purpose. Best-selling textbook author Andrew Woods uses appealing stimulus pages and authentic literary texts to model grammar in context at the word, sentence and text level, with related writing activities for practice. Oxford Grammar will provide students with the tools they need to be effective when expressing their own ideas.The Student Books feature:complete coverage of the Australian Curriculum: Englishalignment to the requirements of the ACARA Literacy Learning Progression'Test yourself' units offering cumulative revision and preparation for national testing'Using grammar in texts' units to link grammar with the purpose of informative, imaginative and persuasive text typesextension and enrichment unitsopportunities for self-reflection and progress checkinga handy glossary of terms."
73,10,VIC,2,MATHEMATICS,9781741351774,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,0.0,0.0,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
74,10,VIC,2,ENGLISH,9781741353501,Sound Waves Foundation Student Book,"['Barbara Murray', 'Terri Watson']",2018,0.0,0.0,
75,10,VIC,2,MATHEMATICS,9781741351774,IMaths,"['Mary Serenc', 'Chris Linthorne', 'Lena Ford']",2011-01-01,0.0,0.0,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover."
76,10,VIC,2,ENGLISH,9780987127150,Reading Conventions,"[""Lauren O'Brien""]",2012-01-01,0.0,0.0,"""Reading Conventions is a completely new series designed to develop students' reading and comprehension skills. It has a specific focus on inferencing. The aim of Reading Conventions is to systematically provide all students with interesting and achievable activities, based on fulfilling national comprehension and reading requirements"".-- Source of summary, ""Teachers 4 Teachers-[Reading Conventions"", accessed 31 May 2013."
77,10,VIC,2,ENGLISH,9780190312497,Handwriting First for Victoria Foundation,['Lesley Ljungdahl'],2018-10-11,0.0,0.0,"Oxford Handwriting for Victoria is a comprehensive and engaging program designed to introduce and develop the fundamental skills of handwriting. It includes correct posture and grip models, opportunities to model and practise accurate letter formation and joining techniques, and activities to help every student develop a fluent automatic handwriting style. The Oxford Handwriting for Victoria series is comprised of seven student workbooks for years F-6 featuring words from the most recent Oxford Wordlist as well as themes and characters from Oxford Reading for Comprehension. Key Features of the handwriting books include:state-specific handwriting conventionsengaging full-colour illustrationshelpful tips along the waycolouring-in opportunitiesself-assessment tasksnumber tracing."
78,6,VIC,2,SCIENCE,9780190310769,Jacaranda Atlas Ninth Edition EBookPLUS and Print,"['Raymond Pask', 'Jacaranda Staff', 'Lynne Griffiths', 'Jane Bellamy', 'Jill Price', 'Nicole Gray', 'John Ramsdale', 'Alex Rossimel']",2017-08-25,0.0,0.0,
79,6,VIC,2,ENGLISH,9781925487459,My Wellbeing Journal Years 1 And 2,"[""Lauren O'Brien""]",2018-08-31,0.0,0.0,
80,6,VIC,2,ENGLISH,9780195560374,Grammar Rules!,['Tanya Gibb'],2008,0.0,0.0,"Winner - Primary Textbook series 2009"""" A whole school grammar program with a strong context-based approach to teaching and learning... Each unit is well thought out with a clear instructional design, starting with a model text and culminating in the students writing a text to put their new grammatical knowledge into practice.""""Australian Educational Publishing AwardsGrammar gets realThis practical teacher resource book supports the Grammar Rules student workbook series or your own gramma"
81,6,VIC,2,ENGLISH,9781741353501,Sound Waves Foundation Student Book,"['Barbara Murray', 'Terri Watson']",2018,0.0,0.0,
82,6,VIC,2,ENGLISH,9780725334611,New Improved Modern Cursive Handwriting 3,"['Gail Nightingale', 'Paul Nightingale']",2004,0.0,0.0,New Improved Modern Cursive Handwriting for Victoria is a popular series providing a structured approach to handwriting with full teacher support.
83,11,QLD,2,MATHEMATICS,9781741353372,Think Mentals Student Book 2,"['Chris Linthorne', 'Sandra Williams']",2015-05,0.0,0.0,
